date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:55	111/111	U-----	200	untouched ('OK')	text/plain	etag:%221902-1783581165;gz%22	https://liantitravel.com/robots.txt		(from )
14:54:55	347474/347474	U-----	200	untouched ('OK')	text/html	etag:%221893-1783580565;gz%22	https://liantitravel.com/	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/index.html	(from )
14:54:57	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jul%202026%2007:55:02%20GMT	http://www.googletagmanager.com/	C:/Website%20Backup/Lianti%20Travel/www.googletagmanager.com/index.html	(from https://liantitravel.com/)
14:54:57	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Jul%202026%2007:55:02%20GMT	http://liantitravel.com/wp-content/uploads/elementor/google-fonts/css/poppins.css?ver=1747108128	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/elementor/google-fonts/css/poppins.1da98a.delayed	(from https://liantitravel.com/)
14:54:57	5842/5842	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Jul%202026%2007:55:02%20GMT	https://gmpg.org/xfn/11	C:/Website%20Backup/Lianti%20Travel/gmpg.org/xfn/11.html	(from https://liantitravel.com/)
14:54:58	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Jul%202026%2007:55:02%20GMT	http://liantitravel.com/wp-content/uploads/elementor/google-fonts/css/outfit.css?ver=1747103933	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/elementor/google-fonts/css/outfit88d9.css	(from https://liantitravel.com/)
14:54:58	762/762	---M-Z	200	added ('OK')	application/rss+xml	etag:%22546310ef2783872d56092b8e4f2023de%22	https://liantitravel.com/comments/feed/	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/comments/feed/index.html	(from https://liantitravel.com/)
14:54:58	560259/560259	---M-Z	200	added ('OK')	application/rss+xml	etag:%22546310ef2783872d56092b8e4f2023de%22	https://liantitravel.com/feed/	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/feed/index.html	(from https://liantitravel.com/)
14:54:58	54666/54666	U-----	200	untouched ('OK')	text/css	etag:%22d58a-6a44d197-6ca50e43d21a9d0f;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/frontend.mineda1.css	(from https://liantitravel.com/)
14:54:59	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Jul%202026%2007:55:04%20GMT	http://liantitravel.com/wp-content/uploads/elementor/google-fonts/css/plusjakartasans.css?ver=1747104022	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/elementor/google-fonts/css/plusjakartasans.21d4cf.delayed	(from https://liantitravel.com/)
14:54:59	7236/7236	U-----	200	untouched ('OK')	text/css	etag:%221c44-6822af90-3d6628306f9cb0ab;gz%22	https://liantitravel.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.4.1	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/themes/hello-elementor/header-footer.min5589.css	(from https://liantitravel.com/)
14:54:59	5501/5501	U-----	200	untouched ('OK')	text/css	etag:%22157d-6822af91-24bee1178563edfb;gz%22	https://liantitravel.com/wp-content/themes/hello-elementor/style.min.css?ver=3.4.1	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/themes/hello-elementor/style.min5589.css	(from https://liantitravel.com/)
14:54:59	5146/5146	U-----	200	untouched ('OK')	text/css	etag:%22141a-6822af91-2f79720f308606fd;gz%22	https://liantitravel.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.4.1	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/themes/hello-elementor/theme.min5589.css	(from https://liantitravel.com/)
14:55:00	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Jul%202026%2007:55:04%20GMT	http://liantitravel.com/wp-content/uploads/elementor/google-fonts/css/inter.css?ver=1747104007	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/elementor/google-fonts/css/inter.23a04c.delayed	(from https://liantitravel.com/)
14:55:00	338579/338579	U-----	200	untouched ('')	image/jpeg	etag:%2252a93-6822aff6-cc2a8c5849703d47;;;%22	https://liantitravel.com/wp-content/uploads/2025/05/the-hajj-annual-islamic-pilgrimage-to-mecca-saudi-arabia.jpg	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/2025/05/the-hajj-annual-islamic-pilgrimage-to-mecca-saudi-arabia.jpg	(from https://liantitravel.com/)
14:55:00	193278/193278	U-----	200	untouched ('')	image/jpeg	etag:%222f2fe-6822b09c-54c5ff5f71fedd1a;;;%22	https://liantitravel.com/wp-content/uploads/2025/05/pilgrims-in-kaaba-in-macca-al-haram-umrah-socially-distanced-coronavirus-restrictions-face-mask-1-1.jpg	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/2025/05/pilgrims-in-kaaba-in-macca-al-haram-umrah-socially-distanced-coronavirus-restrictions-face-mask-1-1.jpg	(from https://liantitravel.com/)
14:55:00	9062241/9062241	U-----	200	untouched ('')	image/jpeg	etag:%228a4761-6822b507-269443e98c909d5;;;%22	https://liantitravel.com/wp-content/uploads/2025/05/moon-between-two-towers-of-the-prophet-s-mosque-in-al-madinah-saudi-arabia-1.jpg	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/2025/05/moon-between-two-towers-of-the-prophet-s-mosque-in-al-madinah-saudi-arabia-1.jpg	(from https://liantitravel.com/)
14:55:00	10255/10255	U-----	200	untouched ('OK')	text/css	etag:%22280f-6a44d197-acc775dc2677cb1f;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/widget-icon-list.mineda1.css	(from https://liantitravel.com/)
14:55:00	1498/1498	---M-Z	200	added ('OK')	application/json	date:Thu,%2009%20Jul%202026%2007:55:05%20GMT	https://liantitravel.com/wp-json/wp/v2/pages/1449	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-json/wp/v2/pages/1449.json	(from https://liantitravel.com/)
14:55:00	278/278	U-----	200	untouched ('OK')	text/css	etag:%22116-6a44d198-74ff548f2b9974f5;;;%22	https://liantitravel.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.mineda1.css	(from https://liantitravel.com/)
14:55:00	5110/5110	U-----	200	untouched ('OK')	text/css	etag:%2213f6-6a44d197-733030653854a404;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/widget-social-icons.mineda1.css	(from https://liantitravel.com/)
14:55:01	2059/2059	---M-Z	200	added ('OK')	application/json	etag:%221904-1783581180;gz%22	https://liantitravel.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fliantitravel.com%2F	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-json/oembed/1.0/embed6ffe.json	(from https://liantitravel.com/)
14:55:01	6713/6713	U-----	200	untouched ('OK')	text/css	etag:%221a39-6a44d197-a1b948d3ec254783;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/conditionals/apple-webkit.mineda1.css	(from https://liantitravel.com/)
14:55:01	214/214	U-----	200	untouched ('OK')	text/css	etag:%22d6-6a44d197-e850e2ff7b4675b;;;%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/widget-image.mineda1.css	(from https://liantitravel.com/)
14:55:01	2221/2221	---M-Z	200	added ('OK')	text/xml	etag:%221905-1783581181;gz%22	https://liantitravel.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fliantitravel.com%2F&format=xml	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-json/oembed/1.0/embed3568	(from https://liantitravel.com/)
14:55:01	26891/26891	U-----	200	untouched ('OK')	text/css	etag:%22690b-6847eee3-b90b708b09c588a3;gz%22	https://liantitravel.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.29.2	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min2801.css	(from https://liantitravel.com/)
14:55:01	4726/4726	U-----	200	untouched ('OK')	text/css	etag:%221276-6a44d197-8ecac1c7d226fecf;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/widget-icon-box.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/widget-icon-box.mineda1.css	(from https://liantitravel.com/)
14:55:02	5869/5869	---M--	200	added ('OK')	image/png	etag:%2216ed-6825b78a-9c3e90d433167785;;;%22	https://liantitravel.com/wp-content/uploads/2025/05/cropped-cropped-lianti-1-192x192.png	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/uploads/2025/05/cropped-cropped-lianti-1-192x192.png	(from https://liantitravel.com/)
14:55:02	4258/4258	U-----	200	untouched ('OK')	text/css	etag:%2210a2-6a44d197-7a3150b803751e6a;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/widget-divider.mineda1.css	(from https://liantitravel.com/)
14:55:02	560/560	U-----	200	untouched ('OK')	text/css	etag:%22230-6a44d197-f895fa536b34919b;gz%22	https://liantitravel.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/css/widget-heading.mineda1.css	(from https://liantitravel.com/)
14:55:02	250/250	U-----	200	untouched ('OK')	text/css	etag:%22fa-6a44d198-279d51cff7b5eb6;;;%22	https://liantitravel.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.min.css?ver=4.1.4	C:/Website%20Backup/Lianti%20Travel/liantitravel.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.mineda1.css	(from https://liantitravel.com/)
